"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @amilcarmontejo: Trailer colisiona contra separadores viales en km 12.5 #TransitoGT ruta El Salvador, afectando ambas vías.

Usuarios so…",FALSE,0,NA,2019-10-19 23:53:16,FALSE,NA,"1185705503978131457",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","fidenchi",5,TRUE,FALSE,NA,NA
"2","RT @prensa_libre: #TráficoGT | Reportan tránsito lento para ingresar a Chimaltenango por la ruta Interamericana. https://t.co/hPzTuEASo7",FALSE,0,NA,2019-10-19 23:50:33,FALSE,NA,"1185704823464910858",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hghro",8,TRUE,FALSE,NA,NA
"3","Tráiler se accidente y vuelve un caos el #TransitoGT #traficogt

--No importa cuando leas esto. https://t.co/w6Xj1XOv6R",FALSE,0,NA,2019-10-19 23:47:43,FALSE,NA,"1185704107719438336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","viper_punk1990",0,FALSE,FALSE,NA,NA
"4","RT @ConsejoMontejo: Esta placa la encontró Charly Hernández. Si es suya por favor comunicarse al número de teléfono 4014-7891.

Gracias por…",FALSE,0,NA,2019-10-19 23:47:39,FALSE,NA,"1185704092905152512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LuisGon75363980",61,TRUE,FALSE,NA,NA
"5","RT @amilcarmontejo: Trailer colisiona contra separadores viales en km 12.5 #TransitoGT ruta El Salvador, afectando ambas vías.

Usuarios so…",FALSE,0,NA,2019-10-19 23:47:14,FALSE,NA,"1185703986772480000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VictorP11869364",5,TRUE,FALSE,NA,NA
"6","RT @amilcarmontejo: Trailer colisiona contra separadores viales en km 12.5 #TransitoGT ruta El Salvador, afectando ambas vías.

Usuarios so…",FALSE,0,NA,2019-10-19 23:46:34,FALSE,NA,"1185703817888841728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","adela_tor",5,TRUE,FALSE,NA,NA
"7","Trailer colisiona contra separadores viales en km 12.5 #TransitoGT ruta El Salvador, afectando ambas vías.

Usuario… https://t.co/SfMLGlPYos",FALSE,4,NA,2019-10-19 23:45:02,TRUE,NA,"1185703435095674886",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","amilcarmontejo",5,FALSE,FALSE,NA,NA
"8","RT @amilcarmontejo: Trailer colisiona contra separadores viales en km 12.5 #TransitoGT ruta El Salvador, afectando ambas vías.

Usuarios so…",FALSE,0,NA,2019-10-19 23:42:30,FALSE,NA,"1185702797775384582",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VictorP11869364",1,TRUE,FALSE,NA,NA
"9","Trailer colisiona contra separadores viales en km 12.5 #TransitoGT ruta El Salvador, afectando ambas vías.

Usuario… https://t.co/E2NnFXMsI2",FALSE,0,NA,2019-10-19 23:42:01,TRUE,NA,"1185702674735476736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amilcarmontejo",1,FALSE,FALSE,NA,NA
"10","#TraficoGT Chimaltenango saturado https://t.co/SpF3pNriHL",FALSE,0,NA,2019-10-19 23:40:11,FALSE,NA,"1185702214981095424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","madoelel",0,FALSE,FALSE,NA,NA
